trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,-100,-450.5461968566123,"{0: 92, 1: 3, 2: 11, 3: 5, 4: 9}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,-100,-363.316682148678,"{0: 96, 1: 4, 2: 8, 3: 4, 4: 8}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,-31,-89.05549648035185,"{0: 44, 1: 0, 2: 3, 3: 2, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,-100,59.54386575910388,"{0: 111, 1: 3, 2: 5, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,-59,25.29524748452786,"{0: 72, 1: 1, 2: 3, 3: 3, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",35,-100,-60.983359344707075,"{0: 123, 1: 5, 2: 1, 3: 2, 4: 4}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,-100,-53.4201013641126,"{0: 116, 1: 1, 2: 1, 3: 3, 4: 4}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,-64,81.20258809884074,"{0: 86, 1: 1, 2: 1, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",35,-100,26.571647200212794,"{0: 127, 1: 1, 2: 3, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,-100,-6.055141076048303,"{0: 118, 1: 1, 2: 1, 3: 2, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,-100,-0.5298381981952387,"{0: 113, 1: 1, 2: 1, 3: 2, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,-100,71.88477619230369,"{0: 120, 1: 1, 2: 1, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,-100,10.771701477348712,"{0: 117, 1: 2, 2: 2, 3: 2, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,-18,22.488843121613613,"{0: 42, 1: 0, 2: 0, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,-86,91.99471992082984,"{0: 107, 1: 0, 2: 1, 3: 3, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,-100,55.48480318072656,"{0: 118, 1: 1, 2: 3, 3: 2, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,-12,48.780246939656,"{0: 41, 1: 0, 2: 1, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,-100,164.1601733334654,"{0: 120, 1: 0, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,-5,40.465942438265415,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",35,4,47.36018718986876,"{0: 31, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",30,-100,161.64937399147047,"{0: 129, 1: 0, 2: 0, 3: 1, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",20,-4,39.190417247043584,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,3,28.501001192376375,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,-100,82.64892465411178,"{0: 122, 1: 0, 2: 0, 3: 1, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",20,-100,72.29606147243294,"{0: 117, 1: 0, 2: 0, 3: 1, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",20,-63,119.20443107004078,"{0: 82, 1: 1, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",30,-12,33.536648335741056,"{0: 41, 1: 0, 2: 0, 3: 0, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",20,12,16.85259883687041,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,-100,92.08483915410231,"{0: 117, 1: 0, 2: 0, 3: 2, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",20,15,11.907257481086145,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
