trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9999987662997035}",25,0,-135.15720539732914,"{0: 18, 1: 0, 2: 4, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.9999950652018582}",25,0,-189.89730890571212,"{0: 16, 1: 1, 2: 2, 3: 3, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.999988896715596}",30,0,-180.00207820182783,"{0: 20, 1: 3, 2: 3, 3: 0, 4: 4}",0
4,False,"{'a': 0.5, 'e': 0.9999802608561371}",30,0,-145.788097977549,"{0: 22, 1: 3, 2: 1, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.9999691576447897}",20,0,-104.827547535129,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9999555871089498}",20,0,-17.30099839014118,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9999395492821014}",20,0,21.230617962070824,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.9999210442038161}",20,0,-3.167120577632506,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.9999000719197535}",20,0,-37.235224714745236,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9998766324816606}",25,0,-107.19602173204491,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.9998507259473718}",25,0,11.528269920219685,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.999822352380809}",20,0,-24.163726359692287,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.9997915118519811}",20,0,17.41008269157566,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.999758204436984}",25,0,12.278145469441778,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
