trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-114.10294225388554,"{0: 10, 1: 4, 2: 3, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,9,-154.54341146990598,"{0: 12, 1: 1, 2: 3, 3: 3, 4: 2}",1
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-73.83694694153978,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-286.80690305132885,"{0: 8, 1: 1, 2: 3, 3: 3, 4: 5}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-89.02544993433565,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-62.89818509249439,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-143.49580312276225,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-164.91308162827232,"{0: 11, 1: 5, 2: 7, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-134.63373123069368,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-98.99259937969242,"{0: 12, 1: 5, 2: 1, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-162.82431192114538,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-101.60480339010765,"{0: 12, 1: 3, 2: 2, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,7,-125.32272102952352,"{0: 14, 1: 2, 2: 4, 3: 1, 4: 2}",1
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-89.27914896634871,"{0: 11, 1: 6, 2: 1, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-127.2985662171356,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-140.03310685151703,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-109.41384828003673,"{0: 13, 1: 1, 2: 2, 3: 3, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-91.14634888093738,"{0: 15, 1: 3, 2: 5, 3: 2, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-81.11946239038511,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-65.57632367449791,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-168.39170069394982,"{0: 10, 1: 4, 2: 2, 3: 1, 4: 3}",0
2,True,"{'a': 0.5, 'e': 1.0}",35,0,-85.61307419166945,"{0: 26, 1: 2, 2: 6, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-245.49136272566142,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 5}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-88.42904775077204,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-162.88044908909848,"{0: 11, 1: 3, 2: 8, 3: 2, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-141.3895632487645,"{0: 9, 1: 4, 2: 5, 3: 0, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-35.25766590609753,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,2,-89.19466690910416,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 1}",1
9,True,"{'a': 0.5, 'e': 1.0}",25,6,-169.48141769750785,"{0: 8, 1: 2, 2: 5, 3: 2, 4: 2}",1
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-175.32558594743867,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
